country_code,year,population,gdp_usd,gdp_per_capita,life_expectancy,co2_per_capita,renewable_pct,internet_pct,gini,urban_pct,electricity_pct,under5_mortality,health_spend_pct
ABW,2000,90588,1873452514,20681.02,72.94,2.97,0.20,15.44,,65.35,91.70,,
ABW,2001,91439,1896456983,20740.13,73.04,2.97,0.20,17.10,,65.34,100.00,,
ABW,2002,92074,1961843575,21307.25,73.14,3.23,0.20,18.80,,65.28,100.00,,
ABW,2003,93128,2044111732,21949.49,73.24,3.68,0.20,20.80,,65.20,100.00,,
ABW,2004,95138,2254830726,23700.63,73.22,3.67,0.20,23.00,,65.09,100.00,,
ABW,2005,97635,2360017318,24171.84,73.42,3.95,0.20,25.40,,64.96,100.00,,
ABW,2006,99405,2469782682,24845.66,73.50,4.27,0.20,28.00,,64.81,100.00,,
ABW,2007,100150,2677641341,26736.31,73.64,4.57,0.20,30.90,,64.65,100.00,,
ABW,2008,100917,2843024581,28171.91,73.78,4.50,0.20,52.00,,64.49,100.00,,
ABW,2009,101604,2553793296,25134.77,73.97,4.86,0.30,58.00,,64.32,100.00,,
ABW,2010,101838,2453597207,24093.14,74.30,4.74,5.50,62.00,,64.16,93.40,,
ABW,2011,102591,2637859218,25712.38,74.58,2.83,5.70,69.00,,64.00,100.00,,
ABW,2012,104110,2615208380,25119.67,74.84,3.61,6.90,74.00,,63.83,100.00,,
ABW,2013,105675,2727849162,25813.57,75.07,3.91,6.90,78.90,,63.64,100.00,,
ABW,2014,106807,2790849721,26129.84,75.26,4.13,6.90,83.78,,63.44,100.00,,
ABW,2015,107906,2962906704,27458.22,75.41,4.29,6.70,88.66,,63.23,100.00,,
ABW,2016,108727,2983637430,27441.55,75.54,4.46,7.00,93.54,,63.01,100.00,,
ABW,2017,108735,3092427933,28440.04,75.62,4.30,6.80,97.17,,62.78,100.00,,
ABW,2018,108908,3276187709,30082.16,75.88,4.27,8.60,,,62.54,100.00,,
ABW,2019,109203,3347561739,30654.49,76.02,4.67,8.30,,,62.29,100.00,,
ABW,2020,108587,2461056053,22664.37,75.41,4.50,9.10,,,62.00,100.00,,
ABW,2021,107700,2889305034,26827.34,73.66,4.71,8.80,,,61.93,100.00,,
ABW,2022,107310,3326671315,31000.57,76.23,4.99,8.80,,,61.88,99.90,,
ABW,2023,107359,3746573413,34897.62,76.35,5.00,,,,61.84,100.00,,
AFG,2000,20130327,3521418060,174.93,55.01,0.05,45.00,,,18.56,4.40,131.70,
AFG,2001,20284307,2813571754,138.71,55.51,0.05,45.60,0.00,,18.74,9.30,127.50,
AFG,2002,21378117,3825701439,178.95,56.23,0.04,37.80,0.00,,18.94,14.10,123.10,9.44
AFG,2003,22733049,4520946819,198.87,57.17,0.04,36.70,0.09,,19.16,19.00,118.50,8.94
AFG,2004,23560654,5224896719,221.76,57.81,0.04,44.20,0.11,,19.40,23.80,113.90,9.81
AFG,2005,24404567,6203256539,254.18,58.25,0.05,33.90,1.22,,19.71,28.70,109.30,9.95
AFG,2006,25424094,6971758282,274.22,58.55,0.06,31.90,2.11,,20.11,33.50,104.80,10.62
AFG,2007,25909852,9747886187,376.22,58.96,0.08,28.80,1.90,,20.59,38.40,100.40,9.90
AFG,2008,26482622,10109297048,381.73,59.71,0.15,21.20,1.84,,21.12,42.40,96.10,10.26
AFG,2009,27466101,12416152732,452.05,60.25,0.22,16.50,3.55,,21.69,48.30,91.90,9.82
AFG,2010,28284089,15856668556,560.62,60.70,0.28,15.20,4.00,,22.26,42.70,88.00,8.57
AFG,2011,29347708,17805098206,606.69,61.25,0.39,12.60,5.00,,22.82,43.20,84.30,8.56
AFG,2012,30560034,19907329778,651.42,61.74,0.32,15.40,5.45,,23.34,69.10,80.80,7.90
AFG,2013,31622704,20146416758,637.09,62.19,0.27,16.90,5.90,,23.81,68.00,77.60,8.81
AFG,2014,32792523,20497128556,625.05,62.26,0.24,19.10,7.00,,24.19,89.50,74.60,9.53
AFG,2015,33831764,19134221645,565.57,62.27,0.25,17.70,8.26,,24.46,71.50,71.90,10.11
AFG,2016,34700612,18116572395,522.08,62.65,0.22,20.20,11.00,,24.66,97.70,69.40,11.82
AFG,2017,35688935,18753456498,525.47,62.41,0.29,19.50,13.50,,24.84,97.70,67.10,12.62
AFG,2018,36743039,18053222687,491.34,62.44,0.32,18.30,16.80,,25.00,93.40,64.80,14.21
AFG,2019,37856121,18799444490,496.60,62.94,0.32,18.90,17.60,,25.14,97.70,62.70,14.83
AFG,2020,39068979,19955929052,510.79,61.45,0.31,18.20,17.05,,25.26,97.70,60.70,15.53
AFG,2021,40000412,14259995441,356.50,60.42,0.31,20.00,16.51,,25.35,97.70,58.70,21.51
AFG,2022,40578842,14497243872,357.26,65.62,0.28,20.00,15.87,,25.39,85.30,56.80,23.09
AFG,2023,41454761,17152234637,413.76,66.04,0.28,,15.93,,25.47,85.30,54.90,14.99
AGO,2000,16194869,9129594970,563.73,46.50,1.02,73.80,0.11,51.90,50.51,24.20,185.00,1.69
AGO,2001,16747208,8936079118,533.59,47.03,0.97,72.80,0.14,,51.72,20.00,176.30,3.96
AGO,2002,17327699,17311512433,999.07,47.87,0.92,70.80,0.27,,52.89,26.30,166.40,2.94
AGO,2003,17943712,20342128112,1133.66,50.22,0.97,65.60,0.37,,54.00,27.40,155.50,3.11
AGO,2004,18600423,26997977896,1451.47,51.12,0.95,62.30,0.46,,55.04,28.40,143.70,3.46
AGO,2005,19291161,41396636384,2145.89,52.13,0.81,68.90,1.14,,56.00,29.40,131.50,2.55
AGO,2006,20015279,58653659980,2930.44,52.97,0.82,62.60,1.50,,56.89,30.50,119.80,2.40
AGO,2007,20778561,73037821926,3515.06,54.20,0.82,58.90,1.70,,57.76,37.50,109.00,2.66
AGO,2008,21578655,98790432989,4578.16,55.28,0.89,55.40,1.90,42.70,58.59,38.50,99.20,2.98
AGO,2009,22414773,81705175409,3645.15,56.23,0.94,53.00,2.30,,59.38,33.80,90.70,3.31
AGO,2010,23294825,95546919754,4101.64,57.24,0.98,53.10,2.80,,60.13,35.00,83.40,2.36
AGO,2011,24218352,125551634705,5184.15,58.09,0.98,51.70,4.70,,60.84,34.60,77.20,2.36
AGO,2012,25177394,143572907528,5702.45,58.92,0.98,49.00,7.70,,61.51,37.30,72.00,2.14
AGO,2013,26165620,148845200696,5688.58,59.71,1.09,46.80,13.00,,62.13,38.40,67.90,2.43
AGO,2014,27160769,153449860496,5649.69,60.40,1.14,47.50,21.36,,62.72,32.00,64.50,2.16
AGO,2015,28157798,102543067841,3641.73,61.04,1.18,47.10,22.00,,63.52,42.00,61.80,2.30
AGO,2016,29183070,60770049747,2082.37,61.62,1.07,48.10,23.20,,64.30,41.80,59.60,2.39
AGO,2017,30234839,85629598654,2832.15,62.12,0.93,52.50,26.00,,65.09,42.90,57.90,2.44
AGO,2018,31297155,90506061877,2891.83,62.62,0.82,52.50,29.00,51.30,65.87,45.30,56.50,2.30
AGO,2019,32375632,81193813808,2507.87,63.05,0.83,51.00,32.13,,66.66,45.60,55.30,2.20
AGO,2020,33451132,58512033806,1749.18,63.12,0.61,60.10,33.32,,67.46,47.00,54.20,2.82
AGO,2021,34532429,78283923544,2266.97,62.96,0.74,52.90,34.56,,68.25,48.20,53.20,2.74
AGO,2022,35635029,128233959333,3598.54,64.25,0.75,,35.84,,69.05,48.50,51.90,2.60
AGO,2023,36749906,106042349567,2885.51,64.62,0.74,,37.89,,69.85,51.10,50.50,2.55
ALB,2000,3089027,3584570165,1160.42,74.83,1.05,41.40,0.11,,41.61,99.40,27.00,5.87
ALB,2001,3060173,4059064033,1326.42,75.08,1.12,39.00,0.33,,42.35,99.40,25.60,5.86
ALB,2002,3051010,4515003117,1479.84,75.30,1.31,35.80,0.39,31.70,43.15,99.40,24.30,5.60
ALB,2003,3039616,5801712040,1908.70,75.56,1.39,33.70,0.97,,44.03,99.40,22.90,5.84
ALB,2004,3026939,7406645793,2446.91,75.95,1.46,35.80,2.42,,44.98,99.40,21.40,5.82
ALB,2005,3011487,8256658250,2741.72,76.43,1.38,36.80,6.04,30.60,45.99,99.40,20.00,5.66
ALB,2006,2992547,9150528132,3057.77,76.99,1.38,31.60,9.61,,47.07,99.40,18.50,5.57
ALB,2007,2970017,11116937870,3743.06,77.69,1.43,32.00,15.04,,48.20,99.40,17.10,5.86
ALB,2008,2947314,13258506375,4498.50,78.25,1.42,35.80,23.86,30.00,49.39,100.00,15.80,5.44
ALB,2009,2927519,12335540656,4213.65,78.51,1.46,37.10,41.20,,50.61,99.60,14.50,5.76
ALB,2010,2913021,12086545641,4149.14,78.41,1.57,37.00,45.00,,51.88,99.60,13.30,6.16
ALB,2011,2905195,12973755875,4465.71,78.30,1.72,35.80,47.00,,53.29,99.70,12.20,6.11
ALB,2012,2860708,12246499748,4280.93,78.08,1.59,39.90,49.40,29.00,53.86,99.90,11.20,6.09
ALB,2013,2816902,12796985886,4542.93,78.00,1.69,41.10,51.80,,54.30,99.90,10.50,6.21
ALB,2014,2773767,13296322588,4793.60,78.03,1.84,38.60,54.30,34.60,54.73,100.00,9.90,6.36
ALB,2015,2731293,11470171827,4199.54,78.36,1.79,38.50,56.90,32.80,55.16,100.00,9.60,6.39
ALB,2016,2689469,11988668785,4457.63,78.64,1.69,39.40,59.60,33.70,55.57,99.90,9.40,6.65
ALB,2017,2648285,13258268436,5006.36,78.90,2.02,36.90,62.40,33.10,55.98,99.90,9.30,6.50
ALB,2018,2607733,15379508330,5897.65,79.24,2.05,37.80,65.40,30.10,56.38,100.00,9.30,6.59
ALB,2019,2567801,15585111614,6069.44,79.47,1.94,40.10,68.55,30.10,56.76,100.00,9.40,6.78
ALB,2020,2528480,15241458745,6027.91,77.82,1.81,44.40,72.24,29.40,57.14,100.00,9.40,7.47
ALB,2021,2489762,18031989573,7242.46,76.84,2.05,41.90,79.32,,57.51,100.00,9.50,7.36
ALB,2022,2451636,19017247014,7756.96,78.77,1.85,,82.61,,57.86,100.00,9.40,7.54
ALB,2023,2411658,23491242727,9740.70,79.60,1.75,,83.14,,58.21,100.00,9.40,7.05
AND,2000,65685,1432606189,21810.25,81.86,,14.50,10.54,,92.26,100.00,7.60,5.93
AND,2001,65852,1548265808,23511.30,82.16,,15.40,,,91.89,100.00,7.20,5.86
AND,2002,66506,1764279824,26528.13,82.45,,15.80,11.26,,91.46,100.00,6.80,6.00
AND,2003,69486,2366941809,34063.58,82.72,,16.50,13.55,,90.99,100.00,6.50,5.54
AND,2004,74325,2900245324,39021.13,82.82,,16.60,26.84,,90.52,100.00,6.20,5.28
AND,2005,77421,3161084091,40829.80,83.09,,16.60,37.61,,89.96,100.00,5.90,5.58
AND,2006,79585,3459337987,43467.21,83.37,,17.60,48.94,,89.38,100.00,5.60,4.95
AND,2007,81877,3957625367,48336.23,83.63,,16.60,70.87,,89.05,100.00,5.30,4.94
AND,2008,83495,4102319399,49132.52,83.86,,17.00,70.04,,88.94,100.00,5.00,5.68
AND,2009,83888,3688976341,43975.02,84.10,,17.10,78.53,,88.84,100.00,4.80,6.09
AND,2010,80706,3449925739,42746.83,84.20,,18.70,81.00,,88.76,100.00,4.50,7.69
AND,2011,77783,3629133575,46657.16,84.30,,18.60,81.00,,88.69,100.00,4.30,7.62
AND,2012,76834,3188652765,41500.54,84.33,,18.80,82.70,,88.63,100.00,4.10,6.72
AND,2013,75194,3193512950,42470.32,84.41,,19.10,84.40,,88.58,100.00,3.90,6.80
AND,2014,73737,3271685597,44369.66,84.49,,19.40,86.10,,88.54,100.00,3.70,6.77
AND,2015,72174,2789881259,38654.93,84.53,,19.00,87.90,,88.52,100.00,3.50,6.91
AND,2016,72181,2896610480,40129.82,84.49,,18.90,89.70,,88.50,100.00,3.40,6.94
AND,2017,73763,3000162081,40672.99,84.36,,18.00,91.57,,88.50,100.00,3.20,7.07
AND,2018,75162,3218419897,42819.77,84.24,,17.60,93.50,,88.51,100.00,3.10,7.38
AND,2019,76474,3155149348,41257.80,84.10,,17.20,90.72,,88.54,100.00,3.00,7.32
AND,2020,77380,2891001149,37361.09,79.42,,20.90,93.21,,88.59,100.00,2.90,8.78
AND,2021,78364,3324647529,42425.70,82.33,,18.40,93.90,,88.66,100.00,2.80,8.65
AND,2022,79705,3380612573,42414.06,84.02,,18.70,94.05,,88.75,100.00,2.70,7.52
AND,2023,80856,3785067332,46812.45,84.04,,,94.21,,88.82,100.00,2.60,7.70
ARB,2000,286548096,763400074351,2664.13,66.89,3.51,6.69,,,52.44,80.46,61.02,3.94
ARB,2001,293580252,744564338443,2536.15,67.24,3.63,6.52,,,52.74,81.35,59.16,4.22
ARB,2002,300691509,746768175363,2483.50,67.58,3.67,6.36,,,53.04,81.32,57.37,4.20
ARB,2003,307815105,830076531568,2696.67,67.65,3.69,6.47,,,53.35,82.34,55.54,4.00
ARB,2004,315060277,987304821542,3133.70,67.73,3.81,6.74,,,53.66,82.28,55.47,3.73
ARB,2005,322628451,1210081941399,3750.70,68.04,3.98,6.40,,,53.98,83.08,53.77,3.45
ARB,2006,330526310,1439461123431,4355.06,68.49,4.08,6.20,,,54.31,85.28,50.28,3.43
ARB,2007,338947976,1674640786036,4940.70,68.88,4.14,5.60,,,54.66,83.63,48.30,3.54
ARB,2008,347684619,2121063708752,6100.54,69.26,4.33,5.13,,,55.01,83.28,46.47,3.38
ARB,2009,356386673,1832774180320,5142.66,69.71,4.38,5.06,,,55.36,84.16,44.84,4.30
ARB,2010,363568534,2165961502752,5957.51,69.81,4.54,4.84,,,55.59,86.92,44.92,3.90
ARB,2011,372054934,2576183850807,6924.20,69.36,4.57,4.66,,,56.05,87.17,53.89,3.81
ARB,2012,381030177,2816787067316,7392.56,69.84,4.77,4.44,,,56.76,86.85,43.24,3.91
ARB,2013,390954281,2887116130913,7384.79,70.19,4.75,4.48,,,57.57,88.96,40.07,4.17
ARB,2014,400231008,2940745822079,7347.62,70.54,4.81,4.35,,,58.03,88.41,38.97,4.50
ARB,2015,410190679,2584151265963,6299.88,70.66,4.80,4.21,,,58.35,88.66,38.33,5.01
ARB,2016,419808341,2540369856563,6051.26,70.90,4.75,4.29,,,58.56,89.19,37.45,5.29
ARB,2017,428315886,2615263227680,6105.92,71.11,4.73,4.36,,,58.68,90.35,38.71,5.16
ARB,2018,435998060,2924906594129,6708.53,71.43,4.62,4.50,,,58.78,88.69,37.48,4.87
ARB,2019,444281315,2969429771610,6683.67,71.84,4.58,4.71,,,58.90,89.93,35.85,4.95
ARB,2020,453723239,2608795934174,5749.75,70.73,4.36,5.17,,,59.09,90.24,34.91,5.72
ARB,2021,460646603,3090113052044,6708.21,70.40,4.50,,,,59.11,90.43,34.35,5.26
ARB,2022,471352066,3752344988903,7960.81,71.88,4.52,,,,59.33,90.65,36.04,4.67
ARB,2023,482105978,3617895070373,7504.36,72.44,4.55,,,,59.57,91.65,35.07,5.17
ARE,2000,3493575,104337463730,29865.53,76.35,25.32,0.10,23.63,,79.29,100.00,10.70,2.40
ARE,2001,3723590,103311631797,27745.17,77.62,27.19,0.10,26.27,,79.75,100.00,10.50,2.48
ARE,2002,3956826,109816091079,27753.58,78.72,26.16,0.10,28.32,,80.27,100.00,10.30,2.72
ARE,2003,4192457,124346476180,29659.57,79.60,25.96,0.10,29.48,,80.85,100.00,10.20,2.65
ARE,2004,4428967,147824249958,33376.69,80.27,25.97,0.10,30.13,,81.47,100.00,10.00,2.46
ARE,2005,4664790,180617467954,38719.31,80.78,26.25,0.10,40.00,,82.21,100.00,9.80,2.32
ARE,2006,5009100,222116532963,44342.60,81.16,25.39,0.10,52.00,,82.56,100.00,9.60,2.33
